Reactants,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,mapped_reactants
O.[O]([C]([C]([C]([O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])([C](=[O])[O][H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([C:5]([O:6][H:7])([C:8](=[O:9])[S:10][CoA:11])[C:12](=[O:13])[O:14][H:15])([C:16](=[O:17])[O:18][H:19])[C:20](=[O:21])[O:22][H:23])=[O:24])[H:25]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])([C](=[O])[O][H])[C](=[O])[S][CoA])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([C:23]([O:24][H:25])([C:26](=[O:27])[S:28][CoA:29])[C:30](=[O:31])[O:32][H:33])([C:34](=[O:35])[O:36][H:37])[C:38](=[O:39])[S:40][CoA:41])=[O:42].[CoA:43][S:44][H:45]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([C]([C](=[O])[O][H])([C](=[O])[S][CoA])[C](=[O])[O][H])([H])[H])([N]([H])[H])[H])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([C:27]([C:28]([C:29](=[O:30])[O:31][H:32])([C:33](=[O:34])[S:35][CoA:36])[C:37](=[O:38])[O:39][H:40])([H:41])[H:42])([N:43]([H:44])[H:45])[H:46])=[O:47]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([N]([H])[H])([C]([C]([C]([C]([N]([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[C:19]([C:20]([N:21]([H:22])[H:23])([C:24]([C:25]([C:26]([C:27]([N:28]([H:29])[H:30])([H:31])[H:32])([H:33])[H:34])([H:35])[H:36])([H:37])[H:38])[C:39](=[O:40])[S:41][CoA:42])(=[O:43])[O:44][H:45].[CoA:46][S:47][H:48]
C(C(C(O)=O)(C(O)=O)C(C(O)=O)O)(O)=O.[NAD+],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([C:3]([OH:4])=[O:5])([C:6]([OH:7])=[O:8])[CH:9]([C:10]([OH:11])=[O:12])[OH:13])([OH:14])=[O:15].[NAD+:16]
O.[O]([C]([C]([N]([H])[H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([N:5]([H:6])[H:7])([C:8]([H:9])([C:10](=[O:11])[S:12][CoA:13])[C:14](=[O:15])[S:16][CoA:17])[C:18](=[O:19])[O:20][H:21])=[O:22])[H:23]
C(C(C(O)=O)C(C(O)=O)O)(O)=O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH:6]([C:7]([OH:8])=[O:9])[OH:10])([OH:11])=[O:12]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[C]([C]([H])([C](=[O])[H])[C](=[O])[S][CoA])(=[O])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[C:19]([C:20]([H:21])([C:22](=[O:23])[H:24])[C:25](=[O:26])[S:27][CoA:28])(=[O:29])[O:30][H:31].[CoA:32][S:33][H:34]
[O]([C]([C]([O][H])([C]([H])([C](=[O])[S][CoA])[C](=[O])[O][H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[O:1]([C:2]([C:3]([O:4][H:5])([C:6]([H:7])([C:8](=[O:9])[S:10][CoA:11])[C:12](=[O:13])[O:14][H:15])[C:16](=[O:17])[O:18][H:19])=[O:20])[H:21]
C(CC(C(O)=O)N)(O)=O.[C]([C]([C]([C](=[O])[C](=[O])[O][H])([H])[H])([H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH2:2][CH:3]([C:4]([OH:5])=[O:6])[NH2:7])([OH:8])=[O:9].[C:10]([C:11]([C:12]([C:13](=[O:14])[C:15](=[O:16])[O:17][H:18])([H:19])[H:20])([H:21])[C:22](=[O:23])[S:24][CoA:25])(=[O:26])[O:27][H:28]
[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([N]([H])[H])([C](=[O])[O][H])[H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])=[O].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Ad:1][O:2][P:3](=[O:4])([O:5][H:6])[O:7][P:8](=[O:9])([O:10][H:11])[O:12][P:13](=[O:14])([O:15][H:16])[O:17][H:18].[CoA:19][S:20][C:21]([C:22]([C:23]([N:24]([H:25])[H:26])([C:27](=[O:28])[O:29][H:30])[H:31])([C:32](=[O:33])[S:34][CoA:35])[C:36](=[O:37])[S:38][CoA:39])=[O:40].[CoA:41][S:42][H:43]
